CODIGODANEDEPARTAMENTO;DEPARTAMENTO;CODIGODANEMUNICIPIO;MUNICIPIO;PDET;IDSUBREGION;SUBREGION
05;ANTIOQUIA;05001;MEDELLÍN;0;NULL;NULL
05;ANTIOQUIA;05002;ABEJORRAL;0;NULL;NULL
05;ANTIOQUIA;05004;ABRIAQUÍ;0;NULL;NULL
05;ANTIOQUIA;05021;ALEJANDRÍA;0;NULL;NULL
05;ANTIOQUIA;05030;AMAGÁ;0;NULL;NULL
05;ANTIOQUIA;05031;AMALFI;1;3;BAJO CAUCA Y NORDESTE ANTIOQUEÑO
05;ANTIOQUIA;05034;ANDES;0;NULL;NULL
05;ANTIOQUIA;05036;ANGELÓPOLIS;0;NULL;NULL
05;ANTIOQUIA;05038;ANGOSTURA;0;NULL;NULL
05;ANTIOQUIA;05040;ANORÍ;1;3;BAJO CAUCA Y NORDESTE ANTIOQUEÑO
05;ANTIOQUIA;05042;SANTA FÉ DE ANTIOQUIA;0;NULL;NULL
05;ANTIOQUIA;05044;ANZÁ;0;NULL;NULL
05;ANTIOQUIA;05045;APARTADÓ;1;16;URABÁ ANTIOQUEÑO
05;ANTIOQUIA;05051;ARBOLETES;0;NULL;NULL
05;ANTIOQUIA;05055;ARGELIA;0;NULL;NULL
05;ANTIOQUIA;05059;ARMENIA;0;NULL;NULL
05;ANTIOQUIA;05079;BARBOSA;0;NULL;NULL
05;ANTIOQUIA;05086;BELMIRA;0;NULL;NULL
05;ANTIOQUIA;05088;BELLO;0;NULL;NULL
05;ANTIOQUIA;05091;BETANIA;0;NULL;NULL
05;ANTIOQUIA;05093;BETULIA;0;NULL;NULL
05;ANTIOQUIA;05101;CIUDAD BOLÍVAR;0;NULL;NULL
05;ANTIOQUIA;05107;BRICEÑO;1;3;BAJO CAUCA Y NORDESTE ANTIOQUEÑO
05;ANTIOQUIA;05113;BURITICÁ;0;NULL;NULL
05;ANTIOQUIA;05120;CÁCERES;1;3;BAJO CAUCA Y NORDESTE ANTIOQUEÑO
05;ANTIOQUIA;05125;CAICEDO;0;NULL;NULL
